grocery store code,candid x (longitude),candid y (latitude),name
egs120970017,-81.38657,28.34318,walmart
egs120970022,-81.61938,28.26279,publix
egs120970023,-81.61394,28.34416,target
egs120970025,-81.54072,28.31866,gooding's supermarkets
egs120970027,-81.5898200005,28.33429,ftw food
egs120970028,-81.5890700001,28.33356,iga
egs120970029,-81.6016900002,28.34432,s & l fruit stand
egs120970030,-81.5891700002,28.33314,king's supermarket
egs120970032,-81.5208100008,28.33417,publix
egs120970033,-81.4797500004,28.33448,holy land international supermarket
egs120970034,-81.5138999996,28.332,m & m foods
egs120970035,-81.48606,28.3449,fish & produce market
egs120970036,-81.5144499998,28.33317,gateway supermarket
egs120970039,-81.5009299995,28.33301,maingate at flea market prices
egs120970040,-81.4972100006,28.33302,indian well supermarket inc
egs120970041,-81.4863699999,28.33326,gifts four less
egs120970042,-81.4797600008,28.33398,jerusalem middle east market
egs120970043,-81.5159000001,28.33243,angelina gerena fruit stand
egs120970044,-81.49699,28.32383,fruits arrangements
egs120970045,-81.48828,28.34473,makkah food market
egs120970046,-81.5268900006,28.33142,publix
egs120970047,-81.488,28.34598,cairo market
egs120970048,-81.4717100001,28.33177,target
egs120970049,-81.4780200006,28.33428,publix
egs120970050,-81.14613,28.1903,town square market
egs120970051,-81.45104,28.14547,poinciana produce
egs120970052,-81.45034,28.12188,shanika haynes flea market
egs120970053,-81.29466,28.19647,publix
egs120970054,-81.43882,28.18148,publix
egs120970055,-81.4427,28.14689,j&r supermarket
egs120970056,-81.29416,28.19913,winn-dixie
egs120970057,-81.45145,28.14805,publix
egs120970058,-81.4366,28.28003,sobys
egs120970059,-81.43674,28.21452,dare foods
egs120970060,-81.43636,28.25917,rosie's supermarket
egs120970061,-81.31227,28.25067,st. cloud health foods
egs120970062,-81.4344,28.26182,publix
egs120970063,-81.31893,28.25514,hess station 09307
egs120970064,-81.35189,28.28442,znk minimarket
egs120970065,-81.43444,28.26179,taqueria casas
egs120970066,-81.41619,28.2898,la gran parada grocery
egs120970067,-81.31186,28.25014,mizu asian & latino supermarket
egs120970068,-81.34761,28.27972,publix
egs120970069,-81.31175,28.25218,aldi
egs120970070,-81.43796,28.26178,publix
egs120970071,-81.43574,28.23013,unidos poinciana
egs120970072,-81.31669,28.25119,publix
egs120970073,-81.39237,28.30423,forever young health foods ii
egs120970074,-81.39131,28.3251,iga
egs120970075,-81.44273,28.30456,queen fruit stand-osceola square mall
egs120970076,-81.40366,28.30294,nueva borinquena
egs120970077,-81.4247,28.30832,j&c produce & meat
egs120970078,-81.38993,28.30417,willer's supermarket
egs120970079,-81.40375,28.32377,el cafetal mini market
egs120970080,-81.4161,28.30388,a caribbean grocery store
egs120970081,-81.40372,28.3084,joy food stores
egs120970082,-81.41585,28.3052,kissimmee produce
egs120970083,-81.39126,28.31843,salam market
egs120970084,-81.40219,28.31307,key west market
egs120970085,-81.45397,28.30419,192 flea market
egs120970086,-81.40252,28.29477,j & b mini mart
egs120970087,-81.45867,28.30445,aldi
egs120970088,-81.43656,28.30802,dyer food mart
egs120970089,-81.40375,28.32408,phil-asian food mart
egs120970090,-81.38108,28.30375,kissimmee meat & produce
egs120970091,-81.42646,28.30489,jason's best asian market
egs120970092,-81.41705,28.30192,sedano's
egs120970093,-81.4172,28.30294,chamberlin's market & cafe
egs120970094,-81.43531,28.30634,walmart neighborhood market
egs120970095,-81.40463,28.30731,save-a-lot
egs120970096,-81.44604,28.3039,bravo supermarket
egs120970097,-81.44704,28.31435,family grocery & services
egs120970098,-81.41532,28.30845,columbia food mart
egs120970099,-81.39499,28.31868,mi tiendita peruana
egs120970100,-81.44886,28.30513,the euro market
egs120970101,-81.41063,28.30481,medina bazaar
egs120970102,-81.39897,28.30486,la placita latina
egs120970103,-81.41785,28.30869,publix
egs120970104,-81.40747,28.33936,the fresh market
egs120970105,-81.38854,28.33922,thrifty fancy produce
egs120970110,-81.39803,28.33696,tomato express
egs120970112,-81.4320700004,28.33917,publix
egs120970113,-81.38784,28.33954,bravo supermarket
egs120970114,-81.3897100003,28.33663,plaza popular supermarket
egs120970116,-81.33738,28.32026,publix
egs120970117,-81.33834,28.32082,boggy creek marketplace
egs120970118,-81.33791,28.32139,ramirez group
egs120970119,-81.36059,28.34471,h s foods
egs120970120,-81.36653,28.34527,osceola produce supermarket
egs120970121,-81.35346,28.30427,gary's garden of eat'in
egs120970122,-81.36284,28.34702,aldi
egs120970123,-81.36621,28.30419,boggy creek food store
egs120970124,-81.32866,28.34205,walmart neighborhood market
egs120970125,-81.34011,28.32051,la caribena
egs120970126,-81.36385,28.34711,aldi
egs120970127,-81.34773,28.30556,gyro to go & market
egs120970128,-81.36096,28.34376,el aguila supermarket
